sample,1_01,1_02,1_03,2_01,2_02,2_03,3_01,3_02,3_03,5_01,5_02,5_03,6_01,6_02,6_03
202.0349@0.3364,34973,1,31472,1,30363,23468,38766,37468,1,26591,21370,1,34226,35385,1
694.0514@0.3544286,20149,14251,14117,1,15964,14157,14124,18276,17441,14439,10349,9934,17575,14991,15316
776.0537@0.35486662,16539,13407,14198,12104,12219,11949,15305,15647,15937,13189,9793,10470,15905,13094,12577
612.0482@0.35446665,25110,17951,20691,20510,17991,18675,25318,27803,20049,19058,14564,15587,24245,21734,22478
530.0455@0.35699996,33386,26025,24408,25777,25356,25563,31708,32112,28723,22684,18585,19709,29239,28878,26701
284.0373@0.35860002,44303,29397,29863,33844,31354,32432,38397,39870,39840,34263,23892,27788,41656,38753,40372
448.0423@0.3602,86435,60942,64695,70061,60788,62686,83436,79370,78434,63549,54334,53887,75359,75989,73504
366.0393@0.3616,49925,36868,35257,36991,35417,35521,48016,47785,48022,36545,30674,33076,42456,45398,42881
720.1269@0.36473334,21068,16492,18039,21009,23634,21642,19692,19099,19209,27695,20052,28064,21985,18843,18226
802.13@0.36506668,20744,19366,17591,26345,23240,23540,19806,17914,19154,27886,21906,30551,22391,22236,20813
556.1207@0.36620003,19834,16748,16648,22195,24383,22125,16408,17147,17890,26639,19364,27622,21237,17960,20254
884.133@0.36460006,13898,12305,12103,16741,16563,15414,13555,11107,11582,18408,13373,19310,14962,13474,14076
474.1176@0.36642855,20329,18871,19136,27162,26545,23474,20137,20607,19589,27424,20598,31544,1,21989,20376
638.1241@0.36538458,22391,17634,18199,23203,23618,23376,1,19311,19151,26400,22199,26384,1,20579,21099
1514.0897@0.36726665,24597,22147,28779,22642,25012,22520,27224,21738,24604,22568,23702,18879,22235,22354,23904
1678.1008@0.369,66996,68088,64721,71762,63137,60376,69311,63454,58948,64748,69485,56322,62165,61956,58752
2170.119@0.3694,81053,80059,86044,77404,72429,70538,73012,71524,67918,70817,72633,67201,75700,74555,69817
2334.1257@0.36926663,66373,63793,70044,65517,58535,58389,66638,60635,50481,61361,63739,53945,62767,62320,59628
2744.1392@0.36966667,64810,62738,66618,64073,56138,60859,61130,61269,56512,55674,65806,59336,56658,61823,60247
2006.1143@0.36953327,91860,86726,92664,83124,78494,80993,85801,86422,79508,83448,86677,76234,90518,80852,80893
2416.1267@0.3697333,122498,121965,121558,118065,115858,113243,124796,123445,113642,122261,123021,111884,122768,116313,115241
2662.1372@0.369,45176,1,46229,42532,41018,41141,44814,1,36483,40985,43168,36313,44070,37693,42608
2498.132@0.36946666,58244,54744,54271,49639,53296,47691,52241,56432,47464,48559,55458,46582,59561,53935,56621
2908.1475@0.36938462,47301,44930,39806,41760,1,34854,42923,42388,38573,42172,45663,35351,44551,1,35753
2826.1433@0.3689091,35130,1,1,29623,25351,31407,28638,1,1,27364,28735,30441,31085,27909,23900
1842.1075@0.36939996,101627,91976,99792,90821,89845,85842,88849,93918,76889,85521,96887,83064,95579,83371,82057
2580.132@0.3696923,94345,88061,88676,90357,85457,1,86823,85946,1,85976,86922,79076,94190,82343,80647
2186.0923@0.3705333,24290,17464,24261,20731,20413,19376,24995,24686,18753,21647,23064,19598,21410,21915,25002
2596.1074@0.3703,17676,1,17749,16896,17329,16204,16850,1,1,1,18594,16004,1,15161,16292
2252.1218@0.37,183126,162312,172507,169373,157248,157341,166487,163629,151278,164837,163533,150991,166052,163948,164989
2104.0894@0.37093335,25244,21829,23452,27182,23083,21539,23448,24092,21582,20740,28989,20674,22271,17413,23637
2350.098@0.37063634,22334,1,1,19432,16311,15864,21322,1,21745,22565,22904,18238,1,22097,20257
2268.098@0.3705385,21498,23559,24979,21473,21209,20568,23258,1,19435,20897,27965,18873,1,19726,22923
1924.1095@0.37021422,357620,338556,341578,337710,324120,1,338792,327159,301397,331469,340252,305450,345016,315313,313683
2088.1152@0.3701333,243610,227580,232484,231337,219939,213288,221097,227839,209884,223950,236988,211624,233078,228160,218181
798.0492@0.37026665,545961,539692,531153,542846,529964,506961,531511,529656,497676,532403,557528,504745,549577,520857,507902
716.0462@0.37046665,926029,833904,861511,894401,839600,832279,884837,828111,795495,871064,901040,822980,905009,826779,823233
1940.0854@0.3713077,23861,20272,18387,23782,17160,20898,22719,23808,23510,23395,26294,22512,1,22116,1
634.043@0.37120003,1003191,974975,975686,1004059,946717,929808,982119,945830,910401,989598,1019294,933113,1000597,948397,923309
470.037@0.37146673,1314401,1348592,1372191,1370977,1338325,1331869,1308758,1352848,1272909,1354638,1401013,1328610,1375497,1324538,1348202
1858.0808@0.3713846,20221,1,22927,22894,21988,23715,21358,20130,21022,22642,27092,17292,1,18452,20426
60.0217@0.373,539060,715266,520611,575519,518917,660446,547812,495688,725363,520607,739905,686675,680715,549065,448317
552.0401@0.3712667,1179784,1177654,1196236,1202034,1171682,1190764,1170751,1177610,1126959,1186641,1240447,1180882,1203351,1179365,1148243
224.0275@0.37180004,666933,649056,662211,660548,641679,661107,636988,672058,627637,658771,665899,660287,658818,657594,655112
1776.0793@0.37064287,20759,21590,16406,17980,17591,17710,22128,19943,17380,22139,23298,17768,1,15408,14697
388.0338@0.37173337,1715380,1734382,1716563,1771658,1679808,1646890,1708226,1679682,1606810,1693567,1802981,1684910,1726239,1665471,1661918
142.0237@0.372,3619118,3549733,3515688,3574598,3257330,3303160,2802319,3424969,3181957,3258728,3389038,3505419,3260574,3359382,3251109
1224.0378@0.37333336,13016,14888,13654,15345,16193,14267,15713,15535,13981,14476,17287,13541,15454,14599,11910
306.0304@0.37220004,1570944,1448895,1443666,1511518,1424229,1417412,1557326,1403179,1390075,1494909,1601955,1418776,1472564,1382751,1410655
978.0285@0.37306672,38213,40965,39638,37568,35161,36562,40183,37472,35333,36727,42145,36619,38666,37329,34468
1060.033@0.37313336,30791,28900,26538,28419,26686,28062,29185,28523,25103,27596,32373,26293,27493,26670,26863
1306.0416@0.37272727,10094,11216,10814,1,10151,9621,1,9820,9294,1,14278,8757,10633,10375,1
896.0253@0.37335715,48507,47342,49154,49984,1,47854,47709,51239,47413,47258,55979,43876,47835,43130,47458
404.0076@0.3732667,55894,52985,55231,60148,50888,55552,55423,57850,52412,56813,70032,53764,55949,55252,53321
814.0225@0.37340003,58076,57122,53817,56118,56052,51854,55163,59172,53142,54779,65016,55311,57596,54314,54284
732.0194@0.37306672,76780,73678,74006,75077,74138,72038,81108,73961,70246,76833,90395,69881,71299,71310,70800
1142.0344@0.37313333,20024,22449,20956,19878,18917,23313,20289,20677,20477,21031,23669,20426,19976,20871,21790
322.0044@0.37299997,29423,1,27148,26950,27210,28031,1,1,23742,26960,33575,26109,1,24754,25681
568.0134@0.3730667,77070,78790,79145,80876,78787,69180,77398,74572,74312,80216,95948,72835,80338,76230,71049
650.0167@0.37313336,78212,79748,79392,77448,74630,75345,79603,78888,72710,80005,92410,73979,81271,69157,71250
486.0103@0.37320003,63832,69699,65479,71002,61761,62845,62187,68148,58693,65160,76441,67367,64390,59615,63459
1982.0717@0.3753333,20373,16685,20069,18210,1,1,14932,17836,17586,19096,18915,16152,1,18389,20947
1818.0652@0.37650007,21105,18441,19366,16481,19721,17568,20537,22075,20402,15540,22557,16628,18044,14302,1
1654.0574@0.37700003,15104,1,15317,1,15664,1,15875,1,13851,1,15992,16749,16167,16560,15520
1900.0641@0.3787857,20290,18353,1,18085,13235,14942,14559,14141,13332,12565,13941,16144,12863,17653,15443
363.9896@0.38928574,210164,216172,210450,214403,1,197393,221234,228368,209079,189220,228558,207347,208448,216358,212152
281.9862@0.39128575,185307,185052,186443,186356,179935,175310,194659,197095,1,141179,197808,156981,181421,181325,179460
421.9478@0.39400005,129571,1,124738,125122,1,128158,134814,131937,126651,151058,141362,121456,1,132077,130233
339.945@0.39633334,215997,229875,224815,218444,228286,220807,260142,247661,237620,265624,243962,225466,232423,230665,199665
117.9803@0.39986667,673776,671644,662933,679303,680707,658160,715028,731850,705277,736079,712549,684972,681850,676820,663777
537.8653@0.39836362,97524,94969,85987,70456,89110,1,106784,100028,101754,1,1,30426,1,87311,93810
397.9037@0.40046665,193064,173072,168039,182312,177567,173531,194967,193192,183095,201718,184627,162800,176653,176134,158281
595.8243@0.40145454,22857,82532,1,85503,1,73079,1,24025,77224,95936,91078,1,55619,91011,80144
257.9422@0.4017857,129618,133741,131033,148904,141227,128722,153838,1,137447,145575,145529,128439,126226,129390,126557
315.9007@0.4072,351558,387665,324066,425090,370827,308278,393926,346052,355046,379434,355894,308845,320338,365510,301733
647.7082@0.41106668,32715,33594,32360,35683,32612,33850,36160,34990,33604,36937,36730,30682,21548,40088,30264
455.8623@0.40614286,126229,119203,84631,122949,121270,116418,135656,1,94829,128140,131238,113352,124632,119966,118350
689.6937@0.41230002,75311,63970,59690,1,1,64503,83035,74483,64170,1,71774,64627,1,67731,1
665.6502@0.4136154,54474,54046,53999,77146,57818,55812,1,1,59136,67697,53823,47205,67026,56563,61832
373.8595@0.412,212723,195627,194269,222437,1,189965,222905,216202,211299,227127,195842,195733,201165,206747,195822
291.8563@0.41250002,356688,337726,334736,384151,381423,348197,393165,356833,1,373559,340458,1,1,338627,326893
607.6913@0.41338462,123724,128170,108697,1,1,136250,131875,130015,123382,131359,117641,116925,138425,132469,130892
549.7325@0.41381818,73500,1,70122,102014,1,99755,96048,91055,92987,94464,1,85573,1,99149,96365
491.7738@0.41484615,116498,1,88140,118111,121326,114994,98112,119917,95376,95782,1,108849,116389,121424,111218
747.6522@0.41584614,45041,1,34816,41294,33080,33422,44305,40091,23671,35881,37918,31604,37251,1,38950
723.6085@0.41572723,31741,1,18418,31304,38828,31124,1,31209,21204,18902,1,19997,1,22095,21021
771.6972@0.41307694,31361,30636,29132,22724,29226,29140,35371,36063,31517,26103,1,18634,34355,1,11895
322.0889@0.44000003,24106,24564,25686,29053,29173,19948,1,29284,27914,1,1,29502,22086,1,23732
240.0855@0.43800005,95525,81150,87020,71082,67060,61883,90389,88682,84611,80398,60833,68333,80080,83982,85424
72.022@0.44026667,154133,153459,153777,128919,133635,115982,150705,142067,145232,134283,123749,149291,164009,138207,139441
90.0325@0.44126663,1686894,1681523,1709051,1377161,1416902,1470573,1660345,1659051,1608431,1525011,246364,1732921,1614624,1682006,1676308
162.0537@0.44159997,120466,100471,102492,91549,97604,93521,104352,91456,96093,88811,100327,97070,101825,88937,96563
102.0327@0.43991673,68289,67818,62004,1,56895,1,66300,62196,58870,61997,60044,1,60483,63486,59818
360.128@0.44380006,221382,205034,206669,133823,131232,125618,182969,177904,175903,154814,207590,154521,197920,194476,177194
216.0405@0.4623333,1.16E+07,1.15E+07,1.10E+07,7925788,7545773,7546667,9402181,9594132,9493744,8741276,8679651,8032240,1.07E+07,1.10E+07,1.07E+07
136.0383@0.4648,213626,204483,203796,227832,235921,233903,195712,216376,210295,156803,288431,252516,207552,201392,201729
244.0704@0.46816662,23869,1,24678,22393,25040,21943,26132,26978,23787,24807,22479,23423,1,1,21655
368.1141@0.469,77198,72514,71160,56136,56386,51557,65914,59064,65019,56743,124042,70628,75995,83744,77282
293.0808@0.4706154,252464,205855,220155,1,105001,106755,53899,78727,77715,100319,258194,386524,91921,61560,1
198.0396@0.48600003,205532,350769,313549,143670,165896,177733,205865,290473,333245,169625,115200,473958,171481,297828,351328
278.0819@0.4811333,66872,60947,67941,57794,62377,49665,59571,64650,72083,59833,67548,66887,49986,54317,61173
135.9028@0.48483336,69885,62231,59605,68542,340413,1,1,62178,266772,61912,79689,1,58456,60944,56942
188.0505@0.49386665,1154720,1070302,1231277,1174633,1167394,1116924,1345443,1480714,1779811,810818,773071,729610,903208,1085739,1011325
147.9911@0.5015333,209079,189424,210389,238447,236321,234689,255480,264820,236477,264003,169874,219163,184071,216776,227563
225.9878@0.5022667,697279,1033387,619842,693714,574856,601995,667904,613680,581941,508351,294611,495513,606621,585461,561418
283.9463@0.5026,247046,229840,212816,232136,232402,224761,244327,220891,212650,168829,113254,175023,234208,212645,213260
341.9055@0.51335716,267692,235820,259660,225767,204131,233890,1,191326,206118,36274,97900,157242,270288,217236,206666
399.8636@0.50353855,154850,142650,129705,45340,178162,161234,175042,138627,124886,105114,1,93129,1,156861,157091
196.8191@0.4986667,1923040,2004338,1829999,2136065,2620718,2763187,2395095,2397602,1643585,2469414,2333542,2527712,2935316,2078176,2575890
415.9979@0.5064667,156650,142900,139125,123262,130959,130575,141532,117841,113193,53696,35122,66053,122534,119241,103391
548.049@0.5066364,63033,30765,28808,39519,33089,30577,29966,20893,25537,1,1,1,17973,24408,1
473.9567@0.5061538,120929,104810,108619,113839,102547,102724,111127,83389,74774,42322,1,1,95823,84663,78683
589.8729@0.5098,50899,34441,34159,37913,36768,1,34871,32288,28627,1,1,1,26192,29155,1
374.034@0.5239091,52118,1,112010,89740,99719,104904,1,93246,100134,1,59235,85376,1,96271,101344
358.0396@0.507,678670,507306,481005,464776,424791,407842,483036,404997,393559,192444,114855,238485,426004,402870,371685
531.9148@0.50884616,30757,27125,25585,27940,27639,28398,22679,22552,23646,1,1,12382,23417,20045,15631
214.8969@0.51933336,275093,435020,218957,257158,280527,295913,452698,342456,305563,233896,272244,244843,386648,458774,407313
168.0289@0.5169334,9682973,8239645,5506109,8370957,8020009,7943376,7813279,5109275,7135236,3944621,3629747,6216673,7212520,7130158,6853355
431.9921@0.5150834,59940,54411,1,29297,37534,45151,38222,42411,51196,1,24780,34846,1,45144,53977
129.0431@0.5242,319268,1,1,350522,327596,330296,372402,1,377396,563669,621446,211444,245501,1,1
280.0466@0.5369286,175013,154424,154544,105860,100477,97451,235230,72314,253495,211401,193415,189737,1,111223,120561
412.0982@0.6052727,22449,31884,1,1,13346,25779,48599,28097,54726,19732,1,17533,17002,14297,1
270.0957@0.5534166,63895,1,48099,29721,25582,25747,49179,52525,50249,37529,35874,1,35580,1,42760
131.0953@0.5592667,190379,169467,165470,273826,268588,273296,182032,210149,164832,404790,288223,346589,191194,193281,180769
244.0704@0.5599,36474,37390,35439,34312,32655,28968,1,1,50964,44375,39362,1,1,1,25581
90.0322@0.5545385,107387,194739,186023,140884,138649,134379,1,1,150598,109557,66679,136216,130450,133287,166989
188.05@0.59364283,343498,395766,398411,1,407036,432571,364224,449071,486429,261818,231218,258488,263321,314125,345714
283.946@0.6059,130167,137121,129709,141728,1,137984,1,123464,129677,1,1,1,133353,124949,117088
196.8188@0.60575,2300351,2457451,2088415,2299417,1,1,2276992,2267744,1904979,2213276,1833282,2045994,1,2210942,2145548
225.9875@0.6157857,458779,1,452280,475187,541563,547010,549459,531744,480289,365036,244446,428592,559350,491192,489587
135.9023@0.60753846,65213,53811,61195,68579,1,1,53332,59786,60717,64966,63874,59826,61014,64265,53237
415.9977@0.6426154,153988,104904,109612,124934,127513,109347,136467,1,103951,61500,1,78052,119782,106367,100841
431.9921@0.6378334,24098,38183,1,41049,32112,1,49911,32654,39680,32725,1,45919,50779,43476,48830
374.0337@0.65239996,117659,137908,144093,130085,131250,158763,123316,139266,152478,95301,89039,128699,144448,138334,159204
564.0435@0.65566665,39478,50069,52475,42030,44006,55472,51503,51294,47584,22414,12712,37544,59706,47084,58121
754.0535@0.65621424,21715,21307,26346,20240,22590,24338,21605,22132,20507,9805,1,15161,23717,22161,24825
922.0796@0.65908337,16251,13957,16206,13475,14077,17194,13464,13928,1,1,1,9117,12611,14619,13942
352.0522@0.6567692,24360,27374,42902,1,29065,29238,25486,27844,25530,1,18061,28174,27307,28949,28886
738.0593@0.6586428,69076,48105,46853,52361,47056,44195,48615,41703,32857,13552,1,21164,40566,37664,32279
358.0391@0.65866673,1068762,844963,860580,812629,751388,753879,809888,736555,751684,341108,201706,439689,717436,690532,627838
732.0716@0.6586154,30440,32828,32771,27063,28908,32031,27859,29015,27058,1,1,19045,27003,26671,30837
548.0489@0.6595333,145857,116239,111019,103532,100366,93613,99002,99554,86536,34171,12380,46976,90213,77043,73561
168.0284@0.65673345,1.49E+07,1.23E+07,6718260,1.31E+07,1.25E+07,1.19E+07,1.17E+07,1.13E+07,1.06E+07,6367811,4550442,8591010,1.04E+07,1.06E+07,9928522
900.0993@0.66053855,38739,36351,37340,28986,32457,37390,32146,29604,23081,1,1,15329,25111,28467,29544
198.0389@0.6554545,81509,1,105846,85767,1,121119,98019,102508,104601,92636,120125,1,89351,111701,1
1090.1104@0.66023076,34732,32534,32926,25671,32084,31462,29965,26468,19980,1,1,12334,23530,26379,23989
131.0951@0.65886676,372709,199838,370259,598394,448474,552469,375292,444770,420325,527597,765649,542456,342341,438659,371600
694.0957@0.6621818,36592,26155,23953,22903,20583,20122,21437,18411,15835,1,1,1,1,15648,14577
526.0669@0.6622143,165002,110855,109895,97227,93248,91483,101624,78268,68438,15051,1,32896,76428,68840,63126
542.0605@0.66071427,33920,30734,44165,35032,37415,38839,32590,39694,25757,13270,1,20392,24641,32164,28739
710.09@0.6613077,39256,37326,40767,32040,31562,38521,32520,31216,26991,1,1,17412,24910,27569,27021
447.9418@0.66490906,68540,33003,43608,36523,19780,1,21492,26444,42181,17687,15315,1,1,25566,1
314.0503@0.67520005,47204,35384,32079,40124,41138,39800,22203,18951,17966,1,1,18301,1,1,1
146.0215@0.6882,93132,99360,1,91038,96469,82989,1,1,1,62871,1,51807,61627,61861,52072
280.0464@0.6997999,187509,175877,133362,110716,147978,164002,334549,361373,314496,213998,141811,136839,137861,149209,91174
228.9124@0.696077,239402,264916,223018,208514,218453,178946,205267,182153,147188,1,123108,138935,197623,1,160308
348.1125@0.7462666,38534,35463,33514,21528,22668,44143,39946,42568,40758,23934,30153,60825,13255,13939,47026
329.124@0.70927274,30144,1,1,48859,43783,19266,26370,23887,33078,112038,127797,24948,1,47433,1
146.0585@0.74363637,98586,105897,1,1,72080,81662,1,1,87756,343577,220920,51962,101571,152394,106706
162.0062@0.76033336,297903,322307,315292,232268,257894,227754,223767,217105,253223,1,1,154987,183744,1,160435
1025.0494@0.7733333,118953,122538,87042,93910,64249,1,78986,84708,83285,72640,1,71591,41574,1,69715
284.111@0.76915383,293656,289074,299546,118542,122700,97404,150738,148744,173211,1,1,87135,125965,157237,129105
230.0766@0.7662667,269103,261589,265600,151421,167778,130835,136463,120092,151295,96173,125497,73418,87559,100136,78334
161.0512@0.7754615,611120,1,1,1583457,919663,2140802,1367703,1727307,415615,2952859,1394291,4584765,2883438,1705265,2855966
216.0793@0.7719091,134536,149518,137164,82129,100323,89841,1,65994,94175,1,69192,49719,1,1,49644
219.0098@0.77591664,71975,1,48042,1,103600,225103,152803,213901,1,313967,133767,408690,306081,182681,305848
136.0384@0.7843999,291645,277382,245810,381120,387973,1,1,323223,1,195780,171774,127261,228363,1,1
186.0504@0.7735,113292,111980,111570,101821,98657,74273,1,98122,98313,88860,123881,1,78163,1,66032
287.0806@0.7800769,54209,1,37411,110291,76692,148119,87553,120459,33095,148830,1,176536,146902,106202,144938
341.1147@0.78728575,60083,1,43235,83544,47768,63861,98588,148045,17103,200589,107344,245115,224472,101116,227920
152.0335@0.82207686,334584,293387,316273,413932,388494,396092,1,396530,392280,1,93825,213377,236959,230638,226849
291.1082@0.8341667,56020,1,55720,37887,50457,39318,43018,37273,41358,25901,1,33051,35515,25531,1
410.0986@0.90107155,82635,62932,84178,113425,106538,107441,76326,1,73089,93348,58298,83678,101432,74493,94926
345.1427@0.89428574,345091,317593,317052,232016,222113,199775,1,269315,283095,244196,199126,222333,286739,296920,273609
539.201@0.9050714,72255,1,65093,116712,107140,102425,83884,80345,79300,92603,64618,79692,67014,68383,65494
208.0847@0.89209086,65244,1,53453,66644,68279,73799,55105,57476,1,58730,1,58040,1,61506,60624
165.0794@0.9000667,4166607,3758748,4142884,5938050,5545701,5853338,4189241,4649208,4312819,5408947,4334730,5063573,4060045,4227386,4088853
352.1402@0.90621424,295086,275185,293215,425650,400416,390774,322130,338163,316857,376382,294400,359810,1,299804,297195
434.1434@0.8935,38969,39081,36473,1,15986,14582,40738,44090,46848,19471,44654,19564,44440,21784,40555
146.0587@0.9115,263857,226157,245489,1,258703,268874,106467,222303,219088,407724,259427,152981,233510,177974,255127
303.1084@0.9302143,59342,54443,49608,49292,44258,46077,50790,45934,48223,1,25162,34037,41833,40794,43406
116.0475@0.9554286,3718603,2983863,3055926,2255951,2151521,2094469,2803004,2541552,2543749,1,1305353,1777824,2585490,2313976,2559768
287.0965@1.2277,15331,1,1,21000,1,15997,18034,15508,1,1,10652,22965,39024,14160,25889
322.1528@1.2783333,44558,37012,36361,73151,67501,65486,53064,1,56151,51856,1,42083,44151,42106,1
656.2334@1.2705834,165904,1,147257,285283,1,112242,212565,136948,81403,317541,1,141097,230506,226617,151205
344.1349@1.2844286,96597,93770,70842,157516,147375,1,136990,137892,134832,102313,72274,99854,112344,108414,116750
204.0897@1.2816001,1.01E+07,8032393,7933324,1.34E+07,1.24E+07,1.25E+07,1.07E+07,9954396,9546858,1.51E+07,1.09E+07,1.36E+07,1.06E+07,1.07E+07,9797411
579.1538@1.2888334,64659,1,1,57527,44724,71058,52483,44202,30026,28570,23921,1,68739,38574,56826
430.1619@1.2810769,552652,564320,580743,965613,1,975330,770833,758537,734150,1127356,724918,1060763,1,863780,888910
1039.0647@1.2823637,44340,1,24169,54217,32204,77323,37932,24676,37299,1,1,27474,33443,21398,1
356.1483@1.2689,17263,1,1,22474,1,1,46385,31137,46089,1,36866,30118,52444,36759,14734
869.2706@1.301,71707,29010,1,152302,1,81137,1,50138,1,212878,98843,76080,87611,90411,70545
316.1035@1.3161,32308,1,43854,1,1,60479,46628,48834,1,44039,43818,1,54887,46871,51479
189.9936@1.4351332,170417,130095,133552,2395687,2262045,2282523,1477265,1349285,1404047,1158227,918207,1031326,2497061,2382444,2336057
182.058@1.6078461,214843,179854,1,221359,192909,191801,1,176398,167740,177103,154819,157257,201524,200806,171584
158.058@1.6006154,153934,128334,137325,59321,61917,50749,63572,52314,64322,101069,72861,1,53840,120742,1
1095.0007@1.7282003,362903,316857,316918,93015,97475,93454,459259,455550,438204,220198,189027,194963,95467,92752,89227
173.9987@1.7329334,1.05E+07,8461017,8966752,1957821,1886211,1792009,1.45E+07,1.18E+07,1.38E+07,5236765,4004259,4565305,1786764,1676700,1630778
202.0843@1.8726363,91959,1,82919,1,29195,41051,56248,61601,1,1,53061,71571,76027,60094,62864
182.058@1.8623637,108780,122780,134076,252756,238015,1,194543,182722,1,177281,150020,149309,1,247508,1
213.0098@2.0272002,2780701,2112005,2033807,3178508,2920293,2779901,4625485,4132657,3654944,3835211,2677371,3315341,3290802,3081031,2497942
365.0535@2.045,41837,14458,33053,10590,1,54355,1,1,72477,83411,46525,1,66657,63734,1
288.0523@2.0532727,59991,55918,1,1,85264,73092,46331,37382,35814,82701,1,1,34918,34967,26972
213.0096@2.6337278,103221,36823,78207,1,101956,1,150448,1,1,116110,93441,108514,105008,111318,100581
179.0582@2.9336665,2565941,2277127,2299596,4871093,4641682,4585937,1,1,1,1952528,1684218,1915266,3308958,3137656,3035989
204.0092@3.0646427,147546,110445,123374,135441,123568,115073,229367,209548,208396,161402,99443,1,115817,107948,104394
132.0786@3.233909,255212,234021,1,196472,1,193951,88562,1,180583,133999,41541,189506,1,96030,78949
172.0734@3.2499232,216451,185612,130512,1,55518,84199,120288,108827,67210,125749,91858,128416,123084,1,73848
346.114@3.6390002,94879,49289,85783,1,1,27645,49673,101983,101744,47545,55086,53869,1,60436,36522
264.1112@3.6743336,1141552,1,1045449,643961,1,1,1284769,1306129,1248302,948731,697936,876743,713488,777705,719855
270.0176@3.7320714,68432,148776,153101,149579,158528,164529,142583,145056,138552,156237,102766,153399,136594,140398,1
398.0107@3.728933,237302,185934,180084,153677,139948,143411,161342,152974,148703,151702,101769,151820,124259,123630,116938
188.0137@3.734933,3.61E+07,3.07E+07,3.09E+07,3.10E+07,2.97E+07,2.89E+07,3.11E+07,2.83E+07,3.02E+07,2.99E+07,2.30E+07,2.68E+07,2.62E+07,2.49E+07,2.39E+07
1109.0164@3.741266,950124,842108,824679,858279,802278,817035,848354,849952,797592,844412,678369,757957,773003,780405,723830
204.0997@3.770333,3058547,2422526,2483610,939753,956555,975645,1540267,1392638,1782740,1385523,1521937,981913,1345176,1358670,1249214
226.0816@3.7855,317968,277647,312757,79690,56742,105959,163749,163287,198031,1,1,87653,1,1,1
262.0678@3.9395714,43660,36189,44866,75008,79378,75456,26262,1,25047,49905,37251,51378,68791,70323,65323
166.0628@4.0400767,245056,208860,211395,284550,277133,244471,227535,204093,215061,1,151789,1,223888,206931,213211
282.0003@4.1009164,81546,76218,74796,1,64864,1,83978,1,66550,82666,55346,75223,72003,71363,69919
146.0943@4.1054997,120198,100077,110273,1,1,40966,1,52135,51659,34489,56102,1,1,57576,62521
190.1206@4.1414003,131057,116031,1,1,1,44439,64533,47268,64746,66704,1,64293,1,68804,67281
382.1112@4.18,41109,32533,33949,58097,53062,56087,1,1,1,27613,1,1,46458,46086,43297
262.0679@4.1787996,48448,30908,43600,49229,55121,58129,1,1,1,1,1,33441,44132,39753,41075
180.0647@4.179933,733909,650356,695309,873199,826595,859087,330491,359640,365331,650523,466565,580082,758641,762503,760369
188.1048@4.1985826,230941,1,179541,1,60000,58937,89133,79081,89667,111410,87393,107724,1,107133,99080
234.1102@4.4856663,143730,134383,97405,126548,87743,89114,148237,122512,115448,204454,99424,75121,136388,155724,135082
205.074@4.6334,478857,292729,191310,503638,326702,202966,432522,289869,167739,400827,197773,134917,450749,308097,152777
186.0893@4.6799335,219183,179893,187665,94303,88317,108100,145285,131846,102385,154025,87007,202451,175407,176829,176413
230.1155@4.824143,96512,77566,91991,1,48013,50443,60487,65122,66980,51181,39444,46661,56474,54842,51242
204.0996@4.9155335,796580,682999,680366,236675,252871,279346,329327,340462,291664,361636,326643,580775,439528,402265,388100
286.103@4.915786,73347,65954,74024,22807,27278,32219,1,34921,25650,38934,33322,56752,44266,44878,43729
160.0736@4.974933,742354,607136,708028,121258,188501,184135,198492,215534,202673,128498,133536,299723,275321,233197,268997
190.1206@5.0345335,190904,155341,166755,60971,56117,56089,81323,77042,77162,89671,71771,88210,91297,98266,88734
166.0627@5.036273,93534,75933,71550,40223,1,37295,56409,48483,1,57431,38461,47165,39935,1,1
204.0997@5.076999,337348,261542,197429,159141,104683,113347,193304,162723,151767,242779,152289,154284,183727,193065,198304
278.163@5.1116667,107320,92464,90932,260057,245551,253367,242034,240478,203489,1,17544,22788,1,1,22980
186.0894@5.107933,1748538,1434524,1448390,604810,563942,618203,839607,780375,724809,798093,525562,757795,701431,686218,657466
268.0924@5.108866,114667,108400,113876,52835,49839,55811,65939,62346,62488,61003,44470,61195,62818,62722,58858
122.0368@5.1554294,266535,260211,145845,163426,277916,198903,94718,80156,1,538047,553373,388475,191305,48982,135597
926.4579@5.351546,44921,45371,44293,57320,55487,56004,40267,37687,38906,1,1,1,1,14895,13810
904.4769@5.3512726,171685,141146,141111,187913,179779,170341,117004,118149,114851,1,1,1,48305,1,46427
204.0998@5.349929,92715,77571,69545,26963,1,28186,37851,27813,29380,122165,77715,70284,37551,31334,35804
316.1999@5.3904004,163577,138939,149241,49516,48836,50647,69707,69603,67045,82422,53982,74440,77249,73935,74263
257.0664@5.438733,73063,53388,45902,62278,50771,45073,76702,60245,54330,49409,31558,31974,52761,44510,39346
175.0634@5.438067,518360,384641,308318,440336,348692,293872,520374,446314,335758,357129,222818,221337,340474,301747,245030
351.1582@5.555733,56184,53768,51871,64428,65196,59969,76931,81406,74865,43798,31639,37013,46725,43404,41967
418.1727@5.5676665,67827,54821,60291,75157,74974,71340,68139,62953,67329,1,1,1,12567,14391,13979
312.1475@5.5701327,3008030,2547644,2511332,3161911,2993370,3081712,3099514,2867938,2880632,655958,483380,637233,789120,793068,768256
